school_code,udise_code,hss_code,vhse_code,name,type,level,established_year,address,pin_code,district,sub_district,education_district,assembly_constituency,parliament_constituency,latitude,longitude,is_coastal_area,is_hilly_area,principal_name,head_master_name,description,source_url,hse_start_year
36039,32110700801.0,4100.0,,Govt. S V H S SKudassanad,Government,1 - 12,1927.0,Kudassanad,689501,Alappuzha,Mavelikara,Mavelikkara,Mavelikkara,Mavelikkara (SC),,,False,False,Anandakuttan unnithan K,Anu Rachel Varghese,"Govt. S V H S SKudassanad is a Government educational institution established in 1927. Situated in the district of Alappuzha, it offers classes for levels 1 - 12. The campus spans across 1 ACRE 90.80 CE and features 22 classrooms. Students have access to excellent facilities including a Computer Lab, a Playground and an Auditorium.",https://sametham.kite.kerala.gov.in/36039,2004.0
16821,32041100209.0,,,Maniyur East LPS,Aided,1 - 4,1828.0,maniyur,673523,Kozhikode,Vatakara,Vatakara,Kuttiadi,Vadakara,11.548834,75.659577,True,True,,ASHALATHA C M,"Maniyur East LPS is a Aided educational institution established in 1828. Situated in the district of Kozhikode, it offers classes for levels 1 - 4. The campus spans across 21 cent and features 4 classrooms. Students have access to excellent facilities including a Playground.",https://sametham.kite.kerala.gov.in/16821,
21895,32060700904.0,,,Carmel U. P. S.Palakkayam,Aided,1 - 7,1979.0,PALAKKAYAM,678591,Palakkad,Mannarkkad,Mannarkkad,Kongad,Palakkad,10.965418,76.516622,True,True,,CLARA THOMAS T,"Carmel U. P. S.Palakkayam is a Aided educational institution established in 1979. Situated in the district of Palakkad, it offers classes for levels 1 - 7. The campus spans across 3 Acre and features 24 classrooms. Students have access to excellent facilities including a Computer Lab, a Science Lab and a Playground.",https://sametham.kite.kerala.gov.in/21895,
31466,32100300109.0,,,St Joseph's U P SMannanam,Aided,1 - 7,1893.0,MANNANAM,686561,Kottayam,Ettumanoor,Pala,Ettumanoor,Kottayam,9.674158,76.528113,True,True,,FR.SAJI CHACKO,"St Joseph's U P SMannanam is a Aided educational institution established in 1893. Situated in the district of Kottayam, it offers classes for levels 1 - 7. The campus spans across 1.5 and features 22 classrooms. Students have access to excellent facilities including a Computer Lab, a Science Lab, a Playground, a Multi Media Room and an Auditorium.",https://sametham.kite.kerala.gov.in/31466,
13463,32021500402.0,,,S.N.A.U.P SchoolPadiyoor,Aided,1 - 7,1952.0,Padiyoor,670703,Kannur,Irikur,Thaliparamba,Mattannur,Kannur,11.996614,75.62936399999998,True,True,,SINDHU P G,"S.N.A.U.P SchoolPadiyoor is a Aided educational institution established in 1952. Situated in the district of Kannur, it offers classes for levels 1 - 7. The campus spans across 2.40 Acre and features 21 classrooms. Students have access to excellent facilities including a Computer Lab and a Playground.",https://sametham.kite.kerala.gov.in/13463,
32381,32100401110.0,,,Gracy Memorial LPSParathode,Unaided Recognised,1 - 4,2005.0,Parathodu,686512,Kottayam,Kanjrappilly,Kanjirappally,Poonjar,Pathanamthitta *,,,True,True,,Jincy  George,"Gracy Memorial LPSParathode is a Unaided Recognised educational institution established in 2005. Situated in the district of Kottayam, it offers classes for levels 1 - 4. The campus spans across 2.7acre and features 6 classrooms. Students have access to excellent facilities including a Playground and a Multi Media Room.",https://sametham.kite.kerala.gov.in/32381,
47325,32040601208.0,,,St. Sebastian`s LPSMuthappanpuzha,Aided,1 - 4,1983.0,MUTHAPPANPUZHA,673603,Kozhikode,Mukkam,Thamarassery,Thiruvambadi,Wayanad *,,,True,True,,LYJU THOMAS,"St. Sebastian`s LPSMuthappanpuzha is a Aided educational institution established in 1983. Situated in the district of Kozhikode, it offers classes for levels 1 - 4. The campus spans across 1 Acre and features 4 classrooms.",https://sametham.kite.kerala.gov.in/47325,
26033,32080303308.0,,,St. Albert`s H.S.S.Ernakulam,Aided,5 - 12,1892.0,Banerji Road,682018,Ernakulam,Ernakulam,Ernakulam,Ernakulam,Ernakulam,9.983344,76.279266,True,True,,JOSEPH SENNAN M M,"St. Albert`s H.S.S.Ernakulam is a Aided educational institution established in 1892. Situated in the district of Ernakulam, it offers classes for levels 5 - 12. The campus spans across 5 Acre and features 60 classrooms. Students have access to excellent facilities including a Computer Lab, a Science Lab, a Playground, a Multi Media Room and an Auditorium.",https://sametham.kite.kerala.gov.in/26033,
21729,32061000105.0,,,A. M. B. S.Vazhukkappara,Aided,1 - 4,1951.0,Vazhukkappara,678612,Palakkad,Parali,Palakkad,Kongad,Palakkad,10.820806,76.57345999999998,True,True,,Anupama K,"A. M. B. S.Vazhukkappara is a Aided educational institution established in 1951. Situated in the district of Palakkad, it offers classes for levels 1 - 4. The campus spans across 59  CENT and features 4 classrooms.",https://sametham.kite.kerala.gov.in/21729,
33317,32100100708.0,,,Thrikodithanam V.B.UPS,Aided,1 - 7,1937.0,THRICKODITHANAM,686105,Kottayam,Changanacherry,Kottayam,Changanassery,Mavelikkara (SC),9.441119,76.56293499999998,True,True,,MAYADEVI S,"Thrikodithanam V.B.UPS is a Aided educational institution established in 1937. Situated in the district of Kottayam, it offers classes for levels 1 - 7. The campus spans across 1.56 cent and features 25 classrooms. Students have access to excellent facilities including a Computer Lab.",https://sametham.kite.kerala.gov.in/33317,
16471,32040700701.0,,,UPS PATHIRAPPATTA,Aided,1 - 7,1864.0,Pathirippatta,673507,Kozhikode,Kunnummal,Vatakara,Kuttiadi,Vadakara,11.694711,75.711111,True,True,,GIRIJA P C,"UPS PATHIRAPPATTA is a Aided educational institution established in 1864. Situated in the district of Kozhikode, it offers classes for levels 1 - 7. The campus spans across .93 and features 27 classrooms. Students have access to excellent facilities including a Computer Lab, a Science Lab and a Playground.",https://sametham.kite.kerala.gov.in/16471,
17049,32040501402.0,10107.0,,N G O Quarters H S SVellimadukunnu,Government,1 - 12,1964.0,Marikkunnu,673012,Kozhikode,Chevayur,Kozhikode,Kozhikode North,Kozhikode,11.290925,75.815472,False,False,P BABURAJ,SUBITHA . M,"N G O Quarters H S SVellimadukunnu is a Government educational institution established in 1964. Situated in the district of Kozhikode, it offers classes for levels 1 - 12. The campus spans across 2.68 acres and features 27 classrooms. Students have access to excellent facilities including a Computer Lab, a Science Lab, a Playground and a Multi Media Room.",https://sametham.kite.kerala.gov.in/17049,2004.0
