school_code,position_title,sanctioned_posts
11028,Teacher (LP/UP) - Arabic (Grade I),1
11028,UP School Assistant Gr I,1
11029,Clerk,3
11029,FTM,1
11029,FTM  1st HG,1
11029,Headmaster/Headmistress (High School),1
11029,High School Assistant,1
11029,High School Assistant Arabic (HG),1
11029,High School Assistant English,2
11029,High School Assistant Natural Science (HG),1
11029,High School Assistant Physical Science,2
11029,High School Assistant Social Science,4
11029,Office Attendant,1
11029,Teacher (LP/UP) - Arabic (Grade II),3
11029,Teacher (LP/UP) - Hindi (Grade II),2
11029,Teacher (U P School) Gr I,1
11029,Teacher (U P School) Gr II,15
11030,FTM,2
11030,High School Assistant,3
11030,High School Assistant English(HG),1
11030,High School Assistant Hindi,3
11030,High School Assistant Malayalam,2
11030,High School Assistant Mathematics,2
11030,High School Assistant Natural Science (HG),1
11030,High School Assistant Social Science,2
11030,Office Attendant (8 Yrs HG),1
11030,Office Attendant Gr II (8 Yrs HG),1
11030,P D Teacher (Selection Grade),2
11030,Teacher (LP/UP) - Arabic (Grade II),1
11030,UP School Assistant,4
11031,Headmaster/Headmistress (High School),1
11031,High School Assistant,1
11031,High School Assistant Malayalam,2
11031,High School Assistant Mathematics,1
11031,L P School Assistant HG,1
11031,LD Clerk HG,1
11031,Office Attendant Gr II,2
11031,Teacher (U P School) Gr II,1
11032,High School Assistant,1
11032,High School Assistant Arabic,1
11032,High School Assistant Malayalam,1
11032,High School Assistant Mathematics,2
11032,Junior Hindi Teacher Gr I,1
11032,Office Attendant Gr II,2
11032,Teacher (U P School) Gr II,1
11032,UP School Assistant,5
11033,FTM,1
11033,High School Assistant,2
11033,High School Assistant English(HG),1
11033,High School Assistant Hindi,1
11033,High School Assistant Malayalam,1
11033,L P School Assistant,7
11033,Office Attendant,1
11033,Office Attendant Gr II (15 Yrs HG),1
11033,P D Teacher (Senior Grade),1
11033,Teacher (U P School) Gr II,1
11033,UP School Assistant,6
11034,High School Assistant,1
11034,High School Assistant (HG),1
11034,High School Assistant Physical Science (HG),1
11034,High School Assistant Social Science(HG),1
11034,L P School Assistant (HG),2
11034,Office Attendant Gr II,1
11034,Teacher (L P School) Gr II,1
11035,Headmaster/Headmistress (High School),1
11035,High School Assistant (Sr Gr),1
11035,High School Assistant English(HG),1
11035,High School Assistant Natural Science (Snr Gr),1
11035,High School Assistant Physical Science(Sel Gr),2
11035,High School Assistant Social Science,2
11035,LD Clerk (15 Yrs HG) (26500 - 56700),1
11035,Office Attendant Gr I (27  Yrs HG),1
11035,Teacher (LP/UP) - Sanskrit (Selection Grade),1
11035,Teacher (U P School) Sel Gr,1
11036,Clerk,1
11036,Headmaster/Headmistress HG (High School),1
11036,High School Assistant,1
11036,High School Assistant (HG),1
11036,High School Assistant English,1
11036,High School Assistant Physical Science(HG),1
11036,Office Attendant Gr I,1
11037,Headmistress HG,1
11037,High School Assistant (HG),5
11037,High School Assistant (Sr Gr),8
11037,High School Assistant English,1
11037,LD Clerk (8 Yrs Qualified),1
11037,Office Attendant Snr Grade,1
11037,Physical Education Teacher,1
11038,FTM  1st HG,2
11038,High School Assistant,8
11038,High School Assistant (HG),9
11038,High School Assistant (Snr Gr),10
11038,LD Clerk (15 Yrs HG) (26500 - 56700),1
11038,Office Attendant HG,1
11038,Teacher (LP/UP) - Hindi (Grade I),1
11038,Teacher (U P School) Snr Gr,1
11038,UP School Assistant (HG),2
11039,Drawing Teacher Gr II (8 Yrs HG),1
11039,High School Assistant (HG),1
11039,High School Assistant (Snr Gr),1
11039,High School Assistant Hindi,1
