school_code,total_area_acre,solar_power,drinking_water,net_connectivity,total_class_room,multi_media_room,total_smart_class_room,little_kites,total_staff_room,computer_lab,science_lab,survey_number_s,total_no_of_computers_available_in_the_school,total_no_of_printers_available_in_the_school,first_aid_room,public_addressing_system,kitchen,cctv,store_book_stationary,tv_hall,canteen,rainwater_harvesting,land_obtained_for_establishing_school,play_ground,waste_management_system,autism_park,dining_hall,auditorium,indoor_stadium,students_police,music_class_room,activities,agricultural_activity,land_protected_by,toilet,she_toilet,no_of_toilets_for_boys,no_of_toilets_for_girls,no_of_urinals_for_boys,no_of_urinals_for_girls,parking_space,garden,transportation,hostel_facility,building_type,bio_gas,incinerator_facility,building_plinth_area,building_ownership,library,electrification
25604,1 acre 2 cent,No,Well,Yes,10.0,No,0.0,No,0.0,No,No,637/1A   Re.sy no; B-37 166/1,1.0,1.0,No,No,Yes,No,No,No,No,No,Government Owned,No,No,No,No,No,No,No,No,,Yes,Fully,Yes,No,1.0,1.0,1.0,1.0,No,No,,No,Pucaa,No,No,371.747m2,Owned,No,Yes
43237,45 cent,No,Well,Yes,9.0,No,2.0,No,1.0,No,No,694/7,4.0,1.0,No,Yes,Yes,No,No,No,No,No,Government Owned,No,No,No,Yes,Yes,No,No,No,,Yes,Partially,Yes,Yes,2.0,5.0,2.0,0.0,No,No,School Bus,No,Pucaa,No,Yes,2042.8675m,Owned,YesNo of books: 692,Yes
48552,5,No,Well,Yes,45.0,No,0.0,No,2.0,Yes,Yes,74/27,42.0,1.0,Yes,Yes,Yes,No,Yes,Yes,No,No,Owned by Manager,Yes  Football,Yes,No,No,Yes,No,No,No,,Yes,Partially,Yes,No,6.0,8.0,14.0,15.0,Yes,No,,No,Pucaa,No,No,20x20x37,Owned,YesNo of books: 500,Yes
42313,93cent,No,Pub Tap & well,No,9.0,Yes,1.0,No,0.0,Yes,No,544/6,5.0,1.0,No,Yes,Yes,No,No,No,No,No,Government Owned,Yes  Badminton,Yes,No,No,No,No,No,No,,Yes,Fully,Yes,No,1.0,1.0,4.0,4.0,No,Yes,,No,Pucaa,No,No,4000 sqf,Owned,YesNo of books: 397,Yes
38401,.84474 acre,No,Well,Yes,4.0,No,0.0,No,1.0,No,Yes,"166/1A3,166/5A1,165/91/2,165/9",2.0,1.0,No,No,Yes,No,No,No,No,No,Government Owned,No,No,No,No,No,No,No,No,,Yes,Partially,Yes,No,1.0,1.0,1.0,1.0,No,Yes,,No,Pucaa,No,No,1844 sqre,Owned,YesNo of books: 800,Yes
13079,6.0,Yes,Well,Yes,44.0,Yes,2.0,Yes,2.0,Yes,Yes,R.S.19,20.0,2.0,No,Yes,Yes,No,Yes,No,No,No,Government Owned,Yes  Football,Yes,No,No,No,No,Yes,No,Scouts & Guides,Yes,Fully,Yes,Yes,8.0,12.0,6.0,0.0,Yes,No,,No,Pucaa,No,No,2025sq.m,Owned,YesNo of books: 3000,Yes
43420,1 acre,No,Well,Yes,6.0,No,5.0,No,0.0,No,No,block.2.194,6.0,1.0,No,Yes,Yes,No,No,No,No,Yes,Government Owned,No,Yes,No,No,No,No,No,No,,Yes,Partially,Yes,No,1.0,1.0,1.0,2.0,No,Yes,School Bus,No,Semi Pucca,No,No,28.90,Owned,YesNo of books: 856,Yes
26528,104.12,No,Public Tap,Yes,7.0,No,0.0,No,1.0,No,No,"83/1,229/1",8.0,0.0,No,No,Yes,No,No,No,No,No,Owned by Manager,Yes  Badminton,Yes,No,No,No,No,No,No,,Yes,Fully,Yes,No,3.0,3.0,3.0,3.0,Yes,Yes,,No,Pucaa,No,Yes,469.36,Owned,YesNo of books: 627,Yes
23262,1 Acre,No,Well,Yes,10.0,Yes,1.0,No,3.0,Yes,No,"447/2,464/3653/1",4.0,1.0,Yes,Yes,Yes,Yes,Yes,No,No,No,Donated by well wishers,Yes  Football / Volleyball / Badminton,Yes,No,Yes,Yes,Yes,No,Yes,,Yes,Fully,Yes,Yes,3.0,3.0,1.0,1.0,Yes,Yes,School Bus,No,Pucaa,No,No,767.65 m2,Owned,YesNo of books: 2000,Yes
21112,3 Acre,No,Well,Yes,10.0,Yes,1.0,No,1.0,Yes,Yes,346/5,4.0,1.0,Yes,Yes,No,No,No,No,No,Yes,Owned by Manager,Yes  Football,Yes,No,No,Yes,No,No,No,,Yes,Fully,Yes,Yes,1.0,1.0,1.0,1.0,Yes,No,School Bus,No,Pucaa,Yes,No,2000sq,Owned,YesNo of books: 400,Yes
19546,2,No,Pub Tap & well,Yes,14.0,No,0.0,No,1.0,Yes,No,"202/3,202/2",3.0,1.0,No,No,Yes,No,Yes,No,No,No,Owned by Manager,No,Yes,No,No,No,No,No,No,,Yes,Partially,Yes,No,6.0,8.0,4.0,4.0,No,Yes,,No,Pucaa,Yes,No,834.9025,Owned,YesNo of books: 1500,Yes
19333,20 Cent,No,Well,No,4.0,No,0.0,No,1.0,No,No,39/1,5.0,1.0,No,Yes,No,No,No,No,No,No,Government Owned,No,No,No,No,No,No,No,No,,No,Fully,Yes,No,1.0,1.0,1.0,1.0,No,No,,No,Pucaa,No,No,1600,Owned,YesNo of books: 1800,No
44366,1acre6cent,No,Public Tap,Yes,9.0,No,1.0,No,2.0,Yes,Yes,42/8. 41/7,2.0,1.0,Yes,No,Yes,No,No,No,No,No,Owned by Manager,Yes  Badminton,Yes,No,No,No,No,No,No,,Yes,Partially,Yes,No,1.0,2.0,1.0,2.0,Yes,Yes,,No,Semi Pucca,No,No,6760sqft,Owned,YesNo of books: 541,Yes
48425,0.5,No,Others,No,4.0,No,0.0,No,1.0,No,No,unsurvey,0.0,0.0,No,No,Yes,No,No,No,No,No,Donated by an Organization,No,No,No,No,No,No,No,No,,Yes,Partially,Yes,No,1.0,2.0,1.0,1.0,Yes,Yes,,No,Pucaa,No,No,2100 sq ft,Owned,No,Yes
41350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,
43080,4.5 acre,No,Public Tap,Yes,12.0,Yes,10.0,No,2.0,Yes,Yes,1,15.0,4.0,No,Yes,Yes,No,No,Yes,No,No,Government Owned,Yes  Football,No,No,Yes,Yes,No,No,No,"NSS,NCC & JRC",Yes,Fully,Yes,No,3.0,0.0,2.0,0.0,Yes,Yes,School Bus,No,Pucaa,No,No,8000,Owned,YesNo of books: 3000,Yes
18112,3kr,No,Well,Yes,10.0,No,1.0,No,1.0,Yes,Yes,"BL/65/64/2,",10.0,1.0,Yes,Yes,Yes,Yes,No,No,No,No,Owned by Manager,Yes  Football,Yes,No,No,No,No,No,No,"JRC,NCC ,Scouts & Guides",Yes,Partially,Yes,Yes,4.0,4.0,10.0,12.0,No,Yes,,No,Pucaa,No,Yes,4000sqrmtr,Owned,YesNo of books: 1211,Yes
46226,1 acre,No,Public Tap,Yes,6.0,Yes,1.0,No,1.0,Yes,No,82/BI-26,1.0,1.0,No,Yes,Yes,No,No,No,No,No,Owned by Manager,No,No,No,No,No,No,No,No,,No,Partially,Yes,No,3.0,3.0,3.0,3.0,No,No,,No,Semi Pucca,No,No,255m2,Owned,No,Yes
22441,1.5,No,Well,Yes,16.0,Yes,1.0,No,0.0,Yes,No,9,5.0,1.0,Yes,Yes,Yes,No,No,No,No,No,Owned by Manager,Yes  Football,Yes,No,No,No,No,No,No,,Yes,Partially,Yes,No,2.0,3.0,2.0,3.0,Yes,Yes,School Bus,No,Pucaa,No,No,758msq,Owned,YesNo of books: 550,Yes
42414,136cents,No,Well,No,12.0,No,1.0,No,1.0,Yes,No,3/1,3.0,0.0,No,Yes,Yes,No,No,No,No,No,Donated by well wishers,Yes  Football / Volleyball / Badminton,No,No,No,No,No,No,No,,Yes,Fully,Yes,No,1.0,1.0,6.0,1.0,Yes,Yes,,No,Pucaa,No,No,240*20,Owned,YesNo of books: 250,Yes
38734,33 cent,No,Others,Yes,8.0,No,1.0,No,1.0,Yes,No,BL 35  86/9,4.0,1.0,Yes,Yes,Yes,No,No,No,No,No,Government Owned,No,Yes,No,No,No,No,No,No,,No,Nil,Yes,No,3.0,2.0,1.0,1.0,No,No,,No,Pucaa,No,No,3600,Owned,No,Yes
29352,1,No,Well,Yes,8.0,No,1.0,No,1.0,Yes,No,162/6,2.0,1.0,No,Yes,Yes,No,No,No,No,No,Owned by Manager,Yes  Badminton,No,No,No,No,No,No,No,,Yes,Partially,Yes,No,1.0,1.0,1.0,1.0,Yes,Yes,,No,Pucaa,No,No,180x18,Owned,YesNo of books: 999,Yes
23552,50.250cent,No,Well,Yes,14.0,No,1.0,No,1.0,Yes,Yes,415/6,4.0,1.0,Yes,No,Yes,No,No,No,No,No,Government Owned,Yes  Football,Yes,No,Yes,No,No,No,No,,No,Fully,Yes,Yes,3.0,4.0,5.0,5.0,Yes,Yes,School Bus,No,Pucaa,No,No,729.39sq.m,Owned,YesNo of books: 3167,Yes
13055,4 acre,No,Well,Yes,36.0,No,25.0,Yes,1.0,Yes,Yes,21/3 19/15,19.0,5.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Owned by Manager,Yes  Football,Yes,No,No,Yes,No,No,No,"JRC,NCC ,Scouts & Guides",Yes,Fully,Yes,Yes,1.0,35.0,8.0,0.0,Yes,No,School Bus,No,Pucaa,No,Yes,23201sqft,Owned,YesNo of books: 9304,Yes
23219,7.18are,No,Pub Tap & well,Yes,8.0,No,0.0,No,1.0,No,No,504/3,7.0,1.0,No,No,Yes,No,No,No,No,No,Owned by Manager,No,Yes,No,No,No,No,No,No,,Yes,Fully,Yes,No,1.0,1.0,3.0,3.0,No,Yes,,No,Pucaa,No,No,2600sft,Owned,YesNo of books: 350,Yes
23430,1,No,Borewll,Yes,12.0,No,12.0,No,1.0,Yes,No,78/12,10.0,1.0,Yes,Yes,Yes,Yes,No,No,No,No,Owned by Manager,No,Yes,No,No,Yes,No,No,No,,Yes,Fully,Yes,Yes,3.0,16.0,3.0,0.0,No,Yes,School Bus,No,Pucaa,No,Yes,6250,Owned,YesNo of books: 3000,Yes
14356,0.17742261,No,Well,Yes,9.0,No,1.0,No,1.0,Yes,Yes,83/1B,5.0,0.0,No,No,Yes,No,No,Yes,No,Yes,Pvt. Management Handover to Govt.,No,Yes,No,No,No,No,No,No,,Yes,Partially,Yes,No,2.0,2.0,1.0,1.0,No,Yes,,No,Pucaa,No,No,3484.32,Owned,YesNo of books: 1750,Yes
36433,50 cent,No,Well,Yes,8.0,No,0.0,No,0.0,Yes,No,Re survey no .175/156,5.0,0.0,No,No,Yes,No,No,No,No,No,Owned by Manager,No,Yes,No,No,No,No,No,No,,Yes,Partially,Yes,No,1.0,1.0,1.0,1.0,No,Yes,,No,Pucaa,No,No,20.24 area,Owned,YesNo of books: 500,Yes
48302,1.12,No,Borewll,No,4.0,Yes,1.0,No,1.0,Yes,No,11/7,5.0,0.0,Yes,Yes,Yes,No,Yes,No,No,No,Owned by Manager,Yes  Football / Volleyball / Badminton,Yes,No,No,No,No,No,No,,Yes,Nil,Yes,Yes,1.0,2.0,5.0,5.0,Yes,Yes,,No,Pucaa,No,Yes,2350 sq.ft,Owned,YesNo of books: 1300,Yes
46218,1 acre 71 cent,No,Well,Yes,11.0,Yes,1.0,No,1.0,No,No,"99/5A,    99A/56",6.0,1.0,No,No,Yes,No,Yes,No,No,Yes,Donated by well wishers,Yes  Football,No,No,No,No,No,No,No,,Yes,Partially,Yes,No,1.0,1.0,1.0,1.0,Yes,Yes,,No,Pucaa,No,Yes,526.56sqm,Owned,YesNo of books: 1250,Yes
20354,2.70acra,No,Borewll,Yes,16.0,No,2.0,No,1.0,Yes,No,471/6,14.0,2.0,Yes,Yes,Yes,Yes,No,No,No,No,Pvt. Management Handover to Govt.,Yes  Football,Yes,No,No,Yes,No,No,No,Scouts & Guides,Yes,Partially,Yes,Yes,4.0,4.0,2.0,2.0,No,Yes,School Bus,No,Pucaa,No,No,880 M.squ,Owned,YesNo of books: 2185,Yes
28526,1.52,No,Pub Tap & well,Yes,8.0,No,1.0,No,1.0,Yes,Yes,"936/8, 936/5,936/6,936/7,",4.0,2.0,No,No,Yes,No,No,No,No,Yes,Government Owned,Yes  Football,No,No,Yes,No,No,No,No,,Yes,Partially,Yes,Yes,6.0,6.0,1.0,1.0,No,Yes,,No,Pucaa,No,Yes,8000 sq.ft,Owned,YesNo of books: 2388,Yes
18758,1.57,No,Well,Yes,25.0,Yes,5.0,No,1.0,Yes,Yes,208/08,18.0,2.0,No,Yes,Yes,No,Yes,No,No,No,Government Owned,No,No,No,No,Yes,No,No,No,,Yes,Partially,Yes,Yes,5.0,6.0,16.0,16.0,No,Yes,School Bus,No,Pucaa,Yes,No,1324,Owned,YesNo of books: 3600,Yes
13941,3,No,Borewll,Yes,5.0,No,0.0,No,0.0,No,No,"133/2,149/1",3.0,0.0,No,No,Yes,No,No,No,No,No,Owned by Manager,Yes  Football,No,No,No,No,No,No,No,,Yes,Nil,Yes,No,1.0,2.0,1.0,1.0,No,Yes,,No,Semi Pucca,No,No,1688 Sq.f,Owned,YesNo of books: 650,Yes
